年月,收益率,天干,地支,五行_干,五行_支,月
2017-08,0.0011726510609454883,庚,申,金,金,8
2017-09,-0.00016466975027231605,辛,卯,金,木,9
2017-10,0.0007806600536606266,己,巳,土,火,10
2017-11,-0.0010090035603873156,壬,辰,水,土,11
2017-12,-0.00012533090585794708,壬,戌,水,土,12
2018-01,0.0023456203390014863,甲,午,木,火,1
2018-02,-0.004228373406653297,甲,子,木,水,2
2018-03,-0.001232088899177823,壬,辰,水,土,3
2018-04,-0.001487876813089015,甲,子,木,水,4
2018-05,0.00023816167367001308,甲,午,木,火,5
2018-06,-0.004099810001032994,甲,子,木,水,6
2018-07,0.000533938319593212,乙,未,木,土,7
2018-08,-0.002264680371164321,乙,丑,木,土,8
2018-09,0.0018818011261266458,戊,戌,土,土,9
2018-10,-0.0042261191543235205,癸,酉,水,金,10
2018-11,-0.0001867529689343995,丁,酉,火,金,11
2018-12,-0.0018081228067219125,己,巳,土,火,12
2019-01,0.0016562686502417808,己,亥,土,水,1
2019-02,0.008781939014854637,己,巳,土,火,2
2019-03,0.0025090683779974434,丁,酉,火,金,3
2019-04,-0.00012149716986881429,戊,辰,土,土,4
2019-05,-0.002846291412902041,癸,卯,水,木,5
2019-06,0.001487185249162108,辛,未,金,土,6
2019-07,-0.000642126239427402,己,亥,土,水,7
2019-08,-0.0006776229440940292,庚,午,金,火,8
2019-09,0.0003579033146295429,壬,寅,水,木,9
2019-10,0.0004758766971587305,戊,寅,土,木,10
2019-11,-0.0009148820897787511,壬,寅,水,木,11
2019-12,0.002760357264672891,癸,酉,水,金,12
2020-01,-0.0014778863541369328,甲,辰,木,土,1
2020-02,-0.0014054752728364262,丙,子,火,水,2
2020-03,-0.001932771954326996,甲,辰,木,土,3
2020-04,0.001904700400025592,甲,戌,木,土,4
2020-05,-0.00012726317788418976,己,酉,土,金,5
2020-06,0.002295940794894852,乙,亥,木,水,6
2020-07,0.004733414763714955,乙,巳,木,火,7
2020-08,0.0012683040620289777,戊,寅,土,木,8
2020-09,-0.0023962195113508026,丁,未,火,土,9
2020-10,0.0001729458491395719,乙,酉,木,金,10
2020-11,0.0024419733215887973,己,酉,土,金,11
2020-12,0.001068688920502989,戊,寅,土,木,12
2021-01,0.0001899849830439282,壬,子,水,水,1
2021-02,0.0005635520663927363,庚,辰,金,土,2
2021-03,-0.0007591934876781187,戊,申,土,金,3
2021-04,8.902266949006865e-05,己,卯,土,木,4
2021-05,0.002688709709325326,甲,寅,木,木,5
2021-06,-0.000303997493423818,庚,辰,金,土,6
2021-07,-0.0024670916379763456,庚,戌,金,土,7
2021-08,0.001964443211622954,壬,午,水,火,8
2021-09,0.00037890234295321343,壬,子,水,水,9
2021-10,-0.00034433113765226786,己,丑,土,土,10
2021-11,0.00022782967837361244,癸,丑,水,土,11
2021-12,0.0009391084063280824,癸,未,水,土,12
2022-01,-0.004139155818808123,丁,巳,火,火,1
2022-02,0.0018876865493383937,辛,卯,金,木,2
2022-03,-0.0025736096441398653,癸,丑,水,土,3
2022-04,-0.0032625989037661173,甲,申,木,金,4
2022-05,0.0024075890365430285,戊,午,土,火,5
2022-06,0.0031124790244229095,乙,酉,木,金,6
2022-07,-0.0020491137458268625,乙,卯,木,木,7
2022-08,-0.0006507685300766706,丙,戌,火,土,8
2022-09,-0.0026780612149405877,丁,巳,火,火,9
2022-10,-0.002699620294879322,丙,申,火,金,10
2022-11,0.003941474568029502,戊,午,土,火,11
2022-12,-0.0008780921133568713,戊,子,土,水,12
2023-01,0.0032958510119934156,辛,酉,金,金,1
2023-02,0.0003948987669244619,庚,寅,金,木,2
2023-03,-6.561683677202388e-05,戊,午,土,火,3
2023-04,0.0009292212478478955,辛,卯,金,木,4
2023-05,-0.0017815243190304642,壬,戌,水,土,5
2023-06,-1.431923791666012e-05,庚,寅,金,木,6
2023-07,0.0013408751100099305,壬,戌,水,土,7
2023-08,-0.002288413538959487,辛,卯,金,木,8
2023-09,-0.0001288733272551801,壬,戌,水,土,9
2023-10,-0.0017287589052956622,庚,子,金,水,10
2023-11,0.00017516174593846699,癸,亥,水,水,11
2023-12,-0.0008441128613221327,癸,巳,水,火,12
2024-01,-0.0028618709076576043,乙,丑,木,土,1
2024-02,0.0053185678258874805,乙,未,木,土,2
2024-03,0.0004288424914538334,甲,子,木,水,3
2024-04,0.001074195545593637,乙,未,木,土,4
2024-05,-0.00026803558875093116,庚,午,金,火,5
2024-06,-0.002059468336267607,戊,戌,土,土,6
2024-07,-0.0003906318404836694,丙,寅,火,木,7
2024-08,-0.0015021094557454958,丁,酉,火,金,8
2024-09,0.008718417125286199,己,巳,土,火,9
2024-10,-0.0006785036802894698,乙,巳,木,火,10
2024-11,0.0007555680125767017,己,巳,土,火,11
2024-12,0.0003755023127557832,庚,子,金,水,12
2025-01,-0.0016453859128169755,辛,未,金,土,1
2025-02,0.0012234028754567101,乙,巳,木,火,2
2025-03,0.0002318239929799351,辛,未,金,土,3
2025-04,-0.0006648962064844031,庚,子,金,水,4
2025-05,0.0011032778064968129,乙,亥,木,水,5
2025-06,0.0014425536376119542,癸,卯,水,木,6
2025-07,0.001606015385395495,辛,未,金,土,7
2025-08,0.003684276497392188,壬,寅,水,木,8
2025-09,0.0003189194633905162,癸,酉,水,金,9
2025-10,0.0011229664883208672,辛,亥,金,水,10
2025-11,-0.0008150686200246171,丙,子,火,水,11
2025-12,0.0009024503551947905,甲,辰,木,土,12
2026-01,0.0018642649613051677,己,卯,土,木,1
2026-02,0.0008256789131373002,丁,未,火,土,2
2026-03,-0.00299079711025483,乙,亥,木,水,3
2026-04,0.0026568814543031743,乙,巳,木,火,4
2026-05,0.005230581730744421,庚,辰,金,土,5
